File,Component_,FileName,FileSize,Version,Language,Attributes,Sequence
fil57FF59E670DFA20229E7E809DD773921,cmp7A2A3DF720F85F8F16F0AC9088924308,2wwe7z1a.tf|aecs_wov_str_def_4ch_in.tf,1400,,,512,608
fil80C3957FCDDBCA2D69DC64AE6FF6B479,cmp99A6C9296180AEB623D558A70326C289,gz_dkusp.xml|DefaultConfigs.xml,1015,,,512,872
fil1499D28889F93E1186F37D69CB95E481,cmpFF343C2C1D544E9B932F762DECEC6DCE,fxljwjxx.bin|dsp_fw_release.bin,493844,,,512,134
fil8D5DB973B4221D56123B2A25B1FB9087,cmp49E3307FE82A25A9E372908258D4768D,ygn5mngj.bin|dsp_lib_dolby_release.bin,192660,,,512,959
filE59542E6A9EAAB0330530248D3722159,cmpF98ED31FABF0BCAFBD1FD40606744E9F,dlb-1jm5.bin|dsp_lib_intel_wov_release.bin,82044,,,512,1622
fil8B20570F335846ACEE2FD236305CDFA1,cmp5DDB80D8913112F11C7B6E43DDD0DFBE,aaafhrhh.oec|IntcOEDTopology.oec,50257,,,512,937
fil4A3FA29CF3FD462CE702A3284D708705,cmpA80085CB19EA2044EDB9D91032D13317,abthcltl.xml|IntcOEDTopology.xml,31250,,,512,516
fil08F380B4F6E85A6AF1CAF6FD752C3785,cmp2CD8163EEA8686534AF6134E8BF21BCD,tm7ewgzs.xml|model_metadata.xml,63494,,,512,60
fil694C6EAA6E19473246D74241DF66C9ED,cmpE5E43D6E7BFDFF18507D529DF3F7EC35,r4sxjizv.con|corcent_constraints.conf,38,,,512,727
filC214E8DBE80B36026FACE4A43F7D6F5E,cmp1315646386EA9BC15EB620D18B551ADB,g7pwirhr.amp|corcent_zh-CN_hq.amp,874768,,,512,1356
filD83044143F9AD733547AD7E4F3021593,cmpBD585569C179AD2B4850C7388E31B9B9,6kcbug7w.dsp|corcent_zh-CN_hq.dsp,173652,,,512,1523
fil83467B2EDAD921D557F283EFBBE196DD,cmpCEB5EC2AC0267B24BBC82F4F84AE2DE1,oq42otdz.nrm|corcent_zh-CN_hq.nrm,971790,,,512,887
fil259DA81083E97CB01F0D2637DC73460C,cmp73664963B8E32314731BB594AF94E9EA,k8bajqvh.phm|corcent_zh-CN_hq_hwkws.phm,96,,,512,262
fil3156BFC3531A9F0CEA5EF257D796F4CF,cmp0CA82FF3AAC95BEF931B6C9BD2C9CCA7,glhfs22f.th|corcent_zh-CN_hq_hwkws.th,4,,,512,344
filF1A01153E73844BB43E8DB014265B8D4,cmp178951055D3E53D59C960935B424244F,w72-9crm.phm|corcent_zh-CN_hq_tencent.phm,102,,,512,1697
filF9FBF427D01F12D9E3DBE9C8B0A96B16,cmpE7020B36FC20105E79D255CEE83EAFFA,sa1soxn6.th|corcent_zh-CN_hq_tencent.th,3,,,512,1764
filA8F811022A51EFBAD35984C88C86BCD8,cmp1934DBE15C3B8E91A3A562D9DF76B960,1lrfvs3q.con|corfuj_constraints.conf,38,,,512,1156
fil1CAA7F793ED3FCC272F42BA056731775,cmpBD838614AD9B325454A26528C4F068D0,zwumb9f8.amp|corfuj_ja-JP_hq.amp,901844,,,512,189
fil480ECCA28E3771A1BF799F09BEC76179,cmp8941880762FDCB44F69F9DFA76CE74FC,54z8pzlk.dsp|corfuj_ja-JP_hq.dsp,173332,,,512,503
fil37FE07410FFC4B64EEFE4344CA9B78BA,cmpEEBC81A5BF35A049A67AC30F7FB67335,rv97hwzx.nrm|corfuj_ja-JP_hq.nrm,971790,,,512,385
fil9E333937EF63846A8EDACAC9A063A122,cmp83C4BFD4E87248B66F2F80F6345873FD,n0ssndbt.phm|corfuj_ja-JP_hq_fuj.phm,90,,,512,1083
filB90757DD33BCC3B871833FE99F58DBC9,cmp0112B3006B9C05471EBB12E2A69DFD5A,o6v24qvx.th|corfuj_ja-JP_hq_fuj.th,3,,,512,1284
fil9E9D44A1F983FDAE35BB78EFE35FD1DC,cmp56AC536769F24B6AA24F71DAAED14DCB,ykwdcnfm.phm|corfuj_ja-JP_hq_hwkws.phm,108,,,512,1086
filF687ED86B46A4768DB76316E315FF18E,cmp3385618FF674E59252A16BF9B48B6BB2,74ikayky.th|corfuj_ja-JP_hq_hwkws.th,3,,,512,1735
